userId,tagId,tweetId
20392,1625,51409
14644,1045,115633
15156,1847,109479
19143,1836,65137
2204,461,256036
13699,1338,126884
22166,433,30924
22296,2433,29712
4670,379,226438
14082,277,122792
22988,643,21685
430,907,278690
8057,504,187717
10817,309,10290
6821,108,202346
2322,172,254933
16248,10,97434
15509,1630,105344
14960,233,111642
11602,786,149768
5664,1045,215500
2886,31,248116
17982,841,76984
22692,759,25379
3424,187,241568
22718,312,25208
2089,2626,257319
11184,833,155062
13156,745,132368
1076,586,270600
6858,459,201784
8789,1528,180137
689,654,275830
3919,2374,234973
3796,822,236926
12217,2819,143810
9508,1068,172459
10646,1311,160672
7984,2806,188511
13459,1290,129321
15238,649,108597
11467,535,151188
3739,977,237726
16376,571,95190
15487,152,105881
3487,288,240503
806,48,287
18197,147,74669
4676,1003,226361
430,2159,278702
10850,2698,158747
6689,1433,203764
17457,412,83110
8980,302,11779
21454,1669,38365
6905,15,13460
1330,663,267385
19263,132,63365
3492,682,240352
3686,1236,238388
21590,727,36682
5934,261,212879
11296,1151,153417
10850,2698,158765
8201,180,186206
17629,190,81396
2456,391,253133
19192,584,64482
13911,32,124621
10552,239,10488
16274,152,97193
7929,677,189365
19658,172,59288
16936,101,31334
18610,977,70851
18403,382,73024
13656,350,127345
12509,1128,140729
17685,467,80635
13208,592,131870
5094,2380,222114
20175,1668,53418
2949,870,247182
19091,1258,66013
11817,180,147796
14072,253,122937
20585,182,2169
4822,1758,15153
8952,239,178358
20400,420,51313
16584,1592,93197
2204,203,256021
7160,1113,198290
1251,841,268381
5130,451,221504
16321,1280,96715
23068,90,20856
5619,2310,215908
14665,569,7023
379,554,279221
8413,20,183593
12298,196,142895
14255,1950,120134
14261,2508,120049
22929,168,22491
8347,345,184620
1609,2303,263981
15396,1744,106764
12490,2005,140960
1840,2819,260993
13310,31,130820
20282,2749,52240
6243,99,208645
10829,782,158960
17546,997,4669
16753,1299,91049
16157,59,98550
4930,18,224007
11504,2099,150732
13340,1342,130408
14425,2289,118119
3192,1690,243951
7439,1604,195026
8622,737,182043
11272,940,4120
6799,852,202640
14897,265,112260
15381,599,6458
17448,1189,4756
18539,1780,71626
17821,30,79126
8022,2312,188128
4183,266,232015
18173,288,74837
9911,10,168198
8236,441,185559
57,340,282186
17994,532,76655
10066,960,10899
16967,2557,88815
14797,483,113418
7981,464,188698
12401,2438,141936
3925,1149,234889
3440,770,241101
1589,407,264310
16687,169,91815
12764,1045,137370
5062,2003,222543
2924,152,247520
10914,152,157862
18517,2280,71823
21326,1457,40117
16548,234,5478
18850,504,68503
14419,1293,118294
20118,691,54257
22554,196,27096
2073,2594,257603
21168,1760,42382
17909,1803,77789
18593,417,71030
4672,10,15283
5162,2326,221084
21875,91,33581
